track_id,track_name,artist_names,genres,valence,danceability,energy,mood,album_name,release_date,album_cover_640x640
2F4gYFqzPvxTZ3CArLYkTa,Says My Heart - Take 1,['Billie Holiday'],"jazz blues, adult standards, jazz, torch song, harlem renaissance, soul, swing, vocal jazz",0.602,0.606,0.254,Upbeat,Lady Day: The Complete Billie Holiday On Columbia (1933-1944),1933,https://i.scdn.co/image/ab67616d00004851452bd32b5454a87f36ad8e8c
2F5lTjxNzxoVP0jRxLSN9Z,All My Rowdy Friends (Have Settled Down),"['Hank Williams, Jr.']","country rock, outlaw country, country",0.813,0.711,0.542,Upbeat,The Pressure Is On,1981-08-01,https://i.scdn.co/image/ab67616d0000b27340182999eec31669632d692d
2F6FfZ4w8z3eJpSxPotVO5,Falling Away from Me,['Korn'],"alternative metal, hard rock, rap metal, funk metal, rock, nu metal, post-grunge",0.17,0.468,0.769,Sad,Issues,1999-11-09,https://i.scdn.co/image/ab67616d0000b2731c229cb7c9851fb0c67e2af8
2F7rfwBWTVaLMZD7EhLFYC,Caballo Golondrino,['Vicente Fernández'],"mariachi, ranchera",0.784,0.38,0.185,Upbeat,Ni En Defensa Propia,1967,https://i.scdn.co/image/ab67616d00004851fb857eb39edcf95d2c2b8c61
2F8CnNSU7pExOSXzsgf2vz,Oh! Look At Me Now,['Tommy Dorsey'],"vintage jazz, tin pan alley, adult standards, jazz trombone, swing, dixieland, big band",0.601,0.775,0.235,Upbeat,The Sentimental Gentleman Of Swing - The Tommy Dorsey Centennial Collection,1925,https://i.scdn.co/image/ab67616d00004851672f86dd8f00de980c46030c
2F8Glc7r4mHHSCEegD4Ju1,Gypsy Road,['Cinderella'],"glam metal, album rock, hard rock",0.511,0.524,0.8859999999999999,Neutral,Long Cold Winter,1988,https://i.scdn.co/image/ab67616d0000b273f6c21a13a1fff5174fe35ed1
2F9aMslwYQurvgv7DGS7S5,Makambo,['Geoffrey Oryema'],Unknown,0.297,0.546,0.136,Sad,,,
2F9giG3Sziq3kJJl9n0GJi,Lamento - Remasterizado,['Ignacio Corsini'],vintage tango,0.619,0.293,0.232,Upbeat,"Colección Completa, Vol. 2 (Remasterizado)",1921-03-20,https://i.scdn.co/image/ab67616d00004851fc669e8ca9ece2c06b8f9d60
2FAL6hxj5Qxuj0kWOkEOsF,She Bop,['Cyndi Lauper'],"permanent wave, new wave pop, dance pop, soft rock",0.8140000000000001,0.583,0.8909999999999999,Upbeat,She's So Unusual,1983-10-14,https://i.scdn.co/image/ab67616d0000b27352f532df7ba3269b0242fed9
2FDFz5TuYlpP180AUicAcl,Acá Entre Nos,['Vicente Fernández'],"mariachi, ranchera",0.471,0.407,0.334,Neutral,Que De Raro Tiene,1992,https://i.scdn.co/image/ab67616d0000b273e940b0d2b028348c96ec0b94
2FDTgrYDUdQKyGmtynEk90,Love Minus Zero,['Bob Dylan'],"country rock, classic rock, folk, folk rock, rock, singer-songwriter, roots rock",0.889,0.7020000000000001,0.56,Upbeat,Bringing It All Back Home,1965-03-22,https://i.scdn.co/image/ab67616d000048516960c5f4eb72f0c06aa92181
2FF0TYtGyXOjhNFolS5vHg,"Fantasia in C Minor, K. 475: I. Adagio","['Wolfgang Amadeus Mozart', 'Claudio Arrau']","classical era, classical, latin american classical piano, classical piano",0.126,0.404,0.012,Sad,Claudio Arrau - The Complete RCA Victor and Columbia Album Collection,1941,https://i.scdn.co/image/ab67616d0000485180d3484023eb4bb007a3c519
2FF6DapJNFhhi9MGMWSSVz,"Polonaises, Op. 26: No. 2 in E-flat Minor","['Frédéric Chopin', 'Arthur Rubinstein']","classical, classical piano, polish classical, early romantic era, polish classical piano",0.116,0.387,0.156,Sad,The Original Jacket Collection - Rubinstein Plays Chopin,1946,https://i.scdn.co/image/ab67616d0000485126b4106d7f1ed39dcfb52763
2FFiA7WVfpaquLXI3XrR1D,Uf Gozal,['Yohai Gabai'],Unknown,0.388,0.287,0.00883,Sad,Guitar instrumentals,1937-06-19,https://i.scdn.co/image/ab67616d000048513f0d62d3471b8759d4523bb2
2FFtdB45Z414KPXa8lsd1S,Blue Moon - From “Grease”,['Sha Na Na'],Unknown,0.472,0.601,0.387,Neutral,Grease - The Original Motion Picture Soundtrack,1978-04-04,https://i.scdn.co/image/ab67616d0000b273b68df485f3304211904548a8
2FHQRDUjgEOpbJY4jQM8sL,You'd Be So Nice To Come Home To,['Chet Baker'],"vocal jazz, jazz trumpet, jazz, cool jazz",0.238,0.5710000000000001,0.0148,Sad,Chet [Keepnews Collection],1959,https://i.scdn.co/image/ab67616d000048519f565a06d4cbb2d9901c3f70
2FIRCJM5i0Gw14fB27IBzJ,Poudre d'or,"['Erik Satie', 'Philippe Entremont']","impressionism, classical, early avant garde, post-romantic era, french classical piano, classical performance, early modern classical",0.256,0.353,0.0565,Sad,Erik Satie & Friends,2016-04-01,https://i.scdn.co/image/ab67616d000048510d3d783124fd96e37b6feee4
2FK7fxjzQEXD7Z32HSF0Hl,"Men In Black - From ""Men In Black"" Soundtrack",['Will Smith'],"hip hop, pop rap",0.6559999999999999,0.8009999999999999,0.581,Upbeat,Big Willie Style,1997-10-03,https://i.scdn.co/image/ab67616d0000b273ddf2f9edabd166c60047e3c4
2FKzRCChfSczjCHCYrbYlS,Ungalile Yaan Oruvan,['M. K. Thyagaraja Bhagavathar'],Unknown,0.541,0.398,0.399,Neutral,Sivakavi (Original Motion Picture Soundtrack),1943-12-31,https://i.scdn.co/image/ab67616d0000485193af72c1961198de38956af7
2FMcDUopGfjBh3xMsrm78S,I Want Candy,['Bow Wow Wow'],"new romantic, new wave, new wave pop",0.775,0.688,0.639,Upbeat,We Are The '80s,1980,https://i.scdn.co/image/ab67616d0000b2730779a8a4e4f42a574a06fd75
